,output_state,experiment,diagnosis,invalid_loss_value,max_memory_allocated,final_batch_size,project,linear_probing,curve_length
61,ok,10782531428714781_mini_set0_PLT_VIL_v1,success,False,9903222272.0,4.0,AFT-MN-01,False,1.0
62,ok,10712818783675107_mini_set0_MD_MIX_v1,success,False,10007725568.0,8.0,AFT-MN-01,False,1.0
63,ok,108773675056943765_mini_set1_INS_2_v1,success,False,6954646016.0,512.0,AFT-MN-01,True,50.0
64,ok,10888870407337597_mini_set0_MD_MIX_v1,success,True,8748025344.0,64.0,AFT-MN-01,True,26.0
65,ok,10888870407337597_mini_set0_MD_MIX_v1,success,True,8748025344.0,64.0,AFT-MN-01,True,26.0
66,ok,16803564080729980_mini_set2_ACT_410_v1,success,False,9969342976.0,4.0,AFT-MN-00,False,1.0
67,ok,109047896135327018_mini_set0_PLT_VIL_v1,success,False,436134400.0,4.0,AFT-MN-01,True,50.0
68,ok,109654341060848564_mini_set2_ACT_410_v1,success,False,55558656.0,4.0,AFT-MN-01,True,50.0
69,ok,10985994580617832_mini_set2_INS_v1,success,False,58591232.0,8.0,AFT-MN-01,True,50.0
70,xx,109974589956429991_mini_set2_RSD_v1,AMP,,,,,,
71,ok,11066533549996644_mini_set2_INS_v1,success,False,1804673024.0,2.0,AFT-MN-01,True,50.0
72,xx,16842976202902133_mini_set0_PLT_VIL_v1,AMP,,,,,,
73,ok,16914261096921652_mini_set0_PLK_v1,success,False,10323919360.0,8.0,AFT-MN-00,False,1.0
74,ok,170121788358287379_mini_set1_MD_5_BIS_v1,success,False,8977068544.0,64.0,AFT-MN-00,False,1.0
75,xx,16791157166987388_mini_set2_MD_6_v1,OOM,,,,,,
76,xx,172140687870817797_mini_set1_PLT_NET_v1,AMP,,,,,,
77,ok,17223517478682216_mini_set2_AWA_v1,success,False,5928620544.0,2.0,AFT-MN-00,True,50.0
78,xx,110704714804920788_mini_set1_MD_5_BIS_v1,success,,,,,,
79,ok,111252934354565_mini_set2_FNG_v1,success,True,2351105024.0,64.0,AFT-MN-01,True,26.0
80,ok,11133204092991600_mini_set2_BTS_v1,success,False,10086056960.0,8.0,AFT-MN-01,False,1.0
81,xx,111598577395204369_mini_set1_TEX_DTD_v1,OOM,,,,,,
82,ok,111806895058082340_mini_set0_RESISC_v1,success,False,8535532544.0,16.0,AFT-MN-01,True,50.0
83,ok,17374971847616342_mini_set2_PLT_DOC_v1,success,False,10122073088.0,16.0,AFT-MN-00,False,1.0
84,ok,112609670202976162_mini_set0_TEX_v1,success,False,9945310208.0,2.0,AFT-MN-01,False,1.0
85,ok,112807009977212453_mini_set1_ACT_40_v1,success,True,5000293888.0,8.0,AFT-MN-01,True,26.0
86,ok,112953376070646068_mini_set1_TEX_DTD_v1,success,False,3896418816.0,4.0,AFT-MN-01,True,50.0
87,ok,175375112654531219_mini_set1_MED_LF_v1,success,True,5624142336.0,8.0,AFT-MN-00,True,26.0
88,ok,17540267198988811_mini_set0_BCT_v1,success,False,8484516864.0,32.0,AFT-MN-00,False,1.0
89,ok,17563587932182923_mini_set2_ACT_410_v1,success,False,10260398080.0,8.0,AFT-MN-00,False,1.0
90,ok,1760669202709113_mini_set2_INS_v1,success,False,9971293184.0,2.0,AFT-MN-00,False,1.0
91,xx,17685892383203999_mini_set1_INS_2_v1,success,,,,,,
92,ok,17875274420426779_mini_set1_APL_v1,success,False,2575828480.0,2.0,AFT-MN-00,True,50.0
93,ok,113298591605011847_mini_set0_BCT_v1,success,False,10391041536.0,128.0,AFT-MN-01,False,1.0
94,ok,113596565828301170_mini_set1_MD_5_BIS_v1,success,False,10398771712.0,4.0,AFT-MN-01,False,1.0
95,ok,113735968482621900_mini_set1_DOG_v1,success,False,2194669056.0,128.0,AFT-MN-01,True,50.0
96,ok,18023014910781761_mini_set1_MED_LF_v1,success,True,129405952.0,8.0,AFT-MN-00,True,26.0
97,ok,18048899119061217_mini_set2_PLT_DOC_v1,success,True,4822039040.0,4.0,AFT-MN-00,True,26.0
98,ok,18128572812746170_mini_set2_INS_v1,success,False,10083550208.0,128.0,AFT-MN-00,False,1.0
99,ok,18245389923003462_mini_set0_SPT_v1,success,False,136631296.0,16.0,AFT-MN-00,True,50.0
100,ok,18279631948305349_mini_set2_MD_6_v1,success,False,52201472.0,2.0,AFT-MN-00,True,50.0
101,ok,18308741269333766_mini_set0_BRD_v1,success,False,8698379776.0,256.0,AFT-MN-00,True,50.0
102,ok,18321968699939123_mini_set2_INS_v1,success,False,10419648512.0,64.0,AFT-MN-00,False,1.0
103,ok,115410392899326222_mini_set1_PLT_NET_v1,success,False,598923264.0,16.0,AFT-MN-01,True,50.0
104,xx,184717803660762886_mini_set2_PRT_v1,batch_size>dataset_size,,,,,,
105,ok,186134482559068387_mini_set1_MD_5_BIS_v1,success,False,201388032.0,16.0,AFT-MN-00,True,50.0
106,ok,11568468057054126_mini_set1_ACT_40_v1,success,False,632957440.0,16.0,AFT-MN-01,True,50.0
107,xx,18733491369876886_mini_set0_TEX_v1,cuDNN_error,,,,,,
108,ok,18960481870512147_mini_set1_DOG_v1,success,False,1007678976.0,32.0,AFT-MN-00,True,50.0
109,ok,117039829900510812_mini_set2_PRT_v1,success,False,1017669632.0,128.0,AFT-MN-01,True,50.0
110,ok,117169588638922536_mini_set1_PLT_NET_v1,success,False,184907264.0,2.0,AFT-MN-01,True,50.0
111,ok,190234630874180174_mini_set2_BTS_v1,success,False,9698638848.0,32.0,AFT-MN-00,False,1.0
112,ok,11728842804518002_mini_set0_TEX_v1,success,False,9737630208.0,4.0,AFT-MN-01,False,1.0
113,ok,11792337413487891_mini_set0_BRD_v1,success,False,10419801088.0,16.0,AFT-MN-01,False,1.0
114,xx,11795518041411492_mini_set1_MED_LF_v1,OOM,,,,,,
115,xx,11800647750598882_mini_set1_PNU_v1,batch_size>dataset_size,,,,,,
116,ok,11806278838251361_mini_set1_TEX_DTD_v1,success,False,6372985344.0,16.0,AFT-MN-01,True,50.0
117,ok,118063811988145205_mini_set1_RSICB_v1,success,False,10353553408.0,32.0,AFT-MN-01,False,1.0
118,ok,119295165166070493_mini_set0_FLW_v1,success,True,2804383232.0,4.0,AFT-MN-01,True,26.0
119,xx,119345635926448573_mini_set1_INS_2_v1,OOM,,,,,,
120,ok,191285892060802399_mini_set1_APL_v1,success,False,4276930048.0,2.0,AFT-MN-00,True,50.0
121,xx,11966584963849403_mini_set1_ACT_40_v1,OOM,,,,,,
122,ok,119699739137408722_mini_set0_BCT_v1,success,False,10254138368.0,4.0,AFT-MN-01,False,1.0
123,ok,119882761664790862_mini_set2_ACT_410_v1,success,False,5487652352.0,64.0,AFT-MN-01,True,50.0
124,ok,120211473057374088_mini_set2_AWA_v1,success,False,8291073536.0,2.0,AFT-MN-01,True,50.0
125,ok,19129292329488071_mini_set2_FNG_v1,success,True,57700352.0,8.0,AFT-MN-00,True,26.0
126,ok,191530075459593917_mini_set0_BCT_v1,success,False,10232610816.0,8.0,AFT-MN-00,False,1.0
127,ok,19164909405060045_mini_set1_TEX_DTD_v1,success,False,10236488192.0,16.0,AFT-MN-00,False,1.0
128,xx,19170250330386585_mini_set2_MD_6_v1,diverged,True,6477817856.0,4.0,AFT-MN-00,True,1.0
129,ok,19406934670464921_mini_set1_DOG_v1,success,True,2797879808.0,4.0,AFT-MN-00,True,26.0
130,xx,121711753082199864_mini_set2_BTS_v1,success,,,,,,
131,ok,122033920547198830_mini_set2_TEX_ALOT_v1,success,,,,,,
132,xx,19447965377469302_mini_set0_TEX_v1,cuDNN_error,,,,,,
133,ok,19570698116149575_mini_set1_MD_5_BIS_v1,success,,,,,,
134,ok,122406416946294743_mini_set1_TEX_DTD_v1,success,False,10293938688.0,4.0,AFT-MN-01,False,1.0
135,ok,12255283752276784_mini_set2_PRT_v1,success,False,6848086528.0,8.0,AFT-MN-01,True,50.0
136,ok,12272668543557120_mini_set1_DOG_v1,success,False,8080316928.0,64.0,AFT-MN-01,False,1.0
137,ok,12292006187552574_mini_set2_TEX_ALOT_v1,success,False,7358184960.0,128.0,AFT-MN-01,True,50.0
138,ok,123387746770273389_mini_set1_RSICB_v1,success,False,10206589952.0,32.0,AFT-MN-01,False,1.0
139,ok,12422785411109073_mini_set2_BTS_v1,success,False,1210240000.0,4.0,AFT-MN-01,True,50.0
140,ok,124656401751263118_mini_set2_RSD_v1,success,False,4329429504.0,2.0,AFT-MN-01,True,50.0
141,ok,124986565237286636_mini_set2_MD_6_v1,success,False,9755380736.0,2.0,AFT-MN-01,False,1.0
142,xx,12505560790418583_mini_set0_TEX_v1,AMP,,,,,,
143,xx,12539269722243211_mini_set0_RESISC_v1,diverged,True,8456974848.0,16.0,AFT-MN-01,True,1.0
144,ok,12563274013731864_mini_set1_INS_2_v1,success,False,5768087040.0,2.0,AFT-MN-01,True,50.0
145,ok,19583998155934720_mini_set1_DOG_v1,success,False,10098593792.0,32.0,AFT-MN-00,False,1.0
146,ok,196701390716471295_mini_set1_ACT_40_v1,success,False,10324358656.0,32.0,AFT-MN-00,False,1.0
147,ok,19702408558315799_mini_set0_PLK_v1,success,False,9510939136.0,8.0,AFT-MN-00,False,1.0
148,ok,19759664439717983_mini_set2_ACT_410_v1,success,False,6878576640.0,256.0,AFT-MN-00,False,1.0
149,ok,19795064155795212_mini_set0_RESISC_v1,success,False,9922150912.0,8.0,AFT-MN-00,False,1.0
150,xx,19818450987176829_mini_set1_TEX_DTD_v1,AMP,,,,,,
151,ok,198530862181755969_mini_set0_PLT_VIL_v1,success,False,1484642304.0,4.0,AFT-MN-00,True,50.0
152,xx,125781389295014663_mini_set2_PRT_v1,AMP,,,,,,
153,xx,126139781218314002_mini_set1_DOG_v1,OOM,,,,,,
154,ok,126161005771978388_mini_set1_RSICB_v1,success,False,7229785600.0,32.0,AFT-MN-01,True,50.0
155,ok,126686302496820839_mini_set2_RSD_v1,success,False,1481054720.0,64.0,AFT-MN-01,True,50.0
156,ok,12675216317794976_mini_set1_PLT_NET_v1,success,False,3574999552.0,4.0,AFT-MN-01,True,50.0
157,ok,12677074133036207_mini_set2_MD_6_v1,success,True,509121024.0,8.0,AFT-MN-01,True,26.0
158,ok,198826981877886495_mini_set0_TEX_v1,success,False,10208911360.0,4.0,AFT-MN-00,False,1.0
159,ok,19914006405913386_mini_set0_PLT_VIL_v1,success,False,400610816.0,16.0,AFT-MN-00,True,50.0
160,ok,199161912028391072_mini_set2_RSD_v1,success,False,10411854336.0,4.0,AFT-MN-00,False,1.0
161,ok,19964116045046486_mini_set1_MED_LF_v1,success,False,85489152.0,4.0,AFT-MN-00,True,50.0
162,ok,20056787023477519_mini_set2_INS_v1,success,False,1092595200.0,2.0,AFT-MN-00,True,50.0
163,ok,2011303323950319_mini_set0_MD_MIX_v1,success,False,6703463936.0,32.0,AFT-MN-00,True,50.0
164,xx,201369885687804973_mini_set1_ACT_40_v1,OOM,,,,,,
165,ok,20140134538694383_mini_set1_PNU_v1,success,False,1535358464.0,2.0,AFT-MN-00,True,50.0
166,ok,20150082472981051_mini_set0_RESISC_v1,success,False,592436224.0,2.0,AFT-MN-00,True,50.0
167,ok,2025596368514559_mini_set2_FNG_v1,success,False,3379731456.0,4.0,AFT-MN-00,True,50.0
168,xx,20402871407484650_mini_set2_PLT_DOC_v1,OOM,,,,,,
169,ok,20431674944342275_mini_set2_MD_6_v1,success,False,7917677056.0,32.0,AFT-MN-00,False,1.0
170,ok,205991544226341701_mini_set1_APL_v1,success,False,8488626688.0,64.0,AFT-MN-00,True,50.0
171,ok,20568668426048495_mini_set0_BCT_v1,success,False,9980917248.0,4.0,AFT-MN-00,False,1.0
