device_count,initial_eval_loss,initial_eval_top1,initial_eval_top5,invalid_loss_value,max_memory_allocated,final_batch_size,experiment,project,curve_length
1,3.0745917320251466,3.75,25.625,False,10284130816,8,2571630609363240_micro_set2_TEX_ALOT_v1,AFT-MC-00,50
1,3.0877697706222533,6.25,30.0,False,222276096,16,138724672034348304_micro_set0_MD_MIX_v1,AFT-MC-00,50
1,3.155582904815674,5.0,23.75,False,5612996608,256,19188936690059498_micro_set1_INS_2_v1,AFT-MC-00,50
1,3.40546875,5.625,27.5,False,9997441536,64,313098402803140905_micro_set1_MD_5_BIS_v1,AFT-MC-00,50
1,3.444007748365402,3.125,20.625,False,397249536,2,255751837889599008_micro_set0_RESISC_v1,AFT-MC-00,50
1,2846177.95,5.0,26.25,False,9635940352,128,7738316934373886_micro_set1_TEX_DTD_v1,AFT-MC-00,50
1,3.11875,6.875,28.125,False,371531264,32,63991555600580541_micro_set0_PLT_VIL_v1,AFT-MC-00,50
1,3.11371790766716,7.5,33.75,False,4210950656,4,7797814596215228_micro_set0_PLT_VIL_v1,AFT-MC-00,50
1,3.34921875,2.5,19.375,True,749528576,32,19633290347345823_micro_set0_PLK_v1,AFT-MC-00,27
1,3.1956208881578947,3.9473684210526314,19.736842105263158,False,10357860864,8,87913640560474761_micro_set1_DOG_v1,AFT-MC-00,50
1,2.963671875,8.75,32.5,False,9934139904,4,50800319322694459_micro_set0_PLT_VIL_v1,AFT-MC-00,50
1,1.2281910678589821e+29,0.0,25.0,False,10298993152,4,81694669217501692_micro_set0_FLW_v1,AFT-MC-00,1
1,3.045558986067772,3.125,31.25,False,51239424,2,119959374935522466_micro_set0_FLW_v1,AFT-MC-00,50
1,3.059299612045288,8.75,24.375,False,598556160,32,31757725675935404_micro_set2_BTS_v1,AFT-MC-00,50
1,3.272723925113678,2.5,25.625,False,5711522304,8,65418375209190718_micro_set0_PLT_VIL_v1,AFT-MC-00,50
1,3.3103724271059036,5.625,20.0,False,2228249600,2,42609450373979202_micro_set1_RSICB_v1,AFT-MC-00,50
1,1.2493035024737633e+18,3.125,22.5,False,10319742464,8,7916506192497336_micro_set2_BTS_v1,AFT-MC-00,50
1,3.075097585979261,4.605263358668277,26.315789875231292,False,276169728,32,50615341238722148_micro_set1_PNU_v1,AFT-MC-00,50
1,2.9925108551979065,4.375,30.0,False,396751360,8,18223623590221012_micro_set0_BCT_v1,AFT-MC-00,50
1,3.228310412168503,6.875,28.75,False,10010403328,4,467300208176649592_micro_set0_BCT_v1,AFT-MC-00,50
1,3.0365288257598877,12.5,25.0,False,9828829184,4,22372547401009346_micro_set1_RSICB_v1,AFT-MC-00,1
1,1871979.2105263157,5.263157944930227,23.026315789473685,False,9635143680,128,64001858668438532_micro_set1_DOG_v1,AFT-MC-00,1
1,3.132401315789474,1.3157894736842106,14.473684210526315,False,10450201600,4,464470510057529085_micro_set1_DOG_v1,AFT-MC-00,50
1,3.410270094871521,12.5,31.25,False,10442257408,8,14417063895003436_micro_set0_SPT_v1,AFT-MC-00,1
1,3.059372627735138,2.5,25.0,False,2671242752,2,12500697361429908_micro_set1_ACT_40_v1,AFT-MC-00,50
1,3.0078125,7.236842155456543,30.263158798217773,False,2445864448,256,198525910199192493_micro_set1_DOG_v1,AFT-MC-00,50
1,3.0237293243408203,6.25,25.0,False,10276515328,8,3878777614674570_micro_set2_INS_v1,AFT-MC-00,1
1,2.9796875,6.25,32.5,False,9754755072,16,90964807812960893_micro_set2_FNG_v1,AFT-MC-00,50
1,2.9610753059387207,14.0625,35.9375,False,10401431552,32,24977046746377920_micro_set1_RSICB_v1,AFT-MC-00,1
1,3.055078125,9.375,23.125,True,98337280,8,34450236411676349_micro_set2_INS_v1,AFT-MC-00,26
1,3.3297497630119324,3.75,20.625,False,1238131200,2,10980904628887596_micro_set2_PLT_DOC_v1,AFT-MC-00,50
1,4.043827127035772e+31,0.0,0.0,False,10119834624,4,33127670089364604_micro_set2_FNG_v1,AFT-MC-00,1
1,,5.0,25.0,False,921240064,64,7013316163404647_micro_set0_RESISC_v1,AFT-MC-00,50
1,2.995323288440704,3.75,23.125,False,8553051648,2,25959323476649340_micro_set1_MED_LF_v1,AFT-MC-00,50
1,1871979.2105263157,5.263157944930227,23.026315789473685,False,7331411968,128,7645165774860774_micro_set1_DOG_v1,AFT-MC-00,50
1,3.2044921875,4.375,19.375,False,3550815232,16,152373394514365_micro_set0_TEX_v1,AFT-MC-00,50
1,3.24884569644928,6.25,37.5,False,10315120640,8,111009347805074810_micro_set2_PLT_DOC_v1,AFT-MC-00,1
1,3.250321680307388,2.5,25.0,False,5435592704,4,31486977796219508_micro_set1_RSICB_v1,AFT-MC-00,50
1,13317.4267578125,7.894736842105263,25.0,False,316948992,16,60846235134089712_micro_set1_DOG_v1,AFT-MC-00,50
