,output_state,experiment,diagnosis,invalid_loss_value,max_memory_allocated,final_batch_size,project,linear_probing,curve_length
91,xx,17685892383203999_mini_set1_INS_2_v1,success,,,,,,
92,ok,17875274420426779_mini_set1_APL_v1,success,,,,,,
93,ok,113298591605011847_mini_set0_BCT_v1,success,,,,,,
94,ok,113596565828301170_mini_set1_MD_5_BIS_v1,success,,,,,,
95,ok,113735968482621900_mini_set1_DOG_v1,success,,,,,,
96,ok,18023014910781761_mini_set1_MED_LF_v1,success,,,,,,
97,ok,18048899119061217_mini_set2_PLT_DOC_v1,success,,,,,,
98,ok,18128572812746170_mini_set2_INS_v1,success,,,,,,
99,ok,18245389923003462_mini_set0_SPT_v1,success,,,,,,
100,ok,18279631948305349_mini_set2_MD_6_v1,success,,,,,,
101,ok,18308741269333766_mini_set0_BRD_v1,success,,,,,,
102,ok,18321968699939123_mini_set2_INS_v1,success,,,,,,
103,ok,115410392899326222_mini_set1_PLT_NET_v1,success,,,,,,
104,xx,184717803660762886_mini_set2_PRT_v1,batch_size>dataset_size,,,,,,
105,ok,186134482559068387_mini_set1_MD_5_BIS_v1,success,,,,,,
106,ok,11568468057054126_mini_set1_ACT_40_v1,success,,,,,,
107,xx,18733491369876886_mini_set0_TEX_v1,cuDNN_error,,,,,,
108,ok,18960481870512147_mini_set1_DOG_v1,success,,,,,,
109,ok,117039829900510812_mini_set2_PRT_v1,success,,,,,,
110,ok,117169588638922536_mini_set1_PLT_NET_v1,success,,,,,,
111,ok,190234630874180174_mini_set2_BTS_v1,success,,,,,,
112,ok,11728842804518002_mini_set0_TEX_v1,success,,,,,,
113,ok,11792337413487891_mini_set0_BRD_v1,success,,,,,,
114,xx,11795518041411492_mini_set1_MED_LF_v1,OOM,,,,,,
115,xx,11800647750598882_mini_set1_PNU_v1,batch_size>dataset_size,,,,,,
116,ok,11806278838251361_mini_set1_TEX_DTD_v1,success,,,,,,
117,ok,118063811988145205_mini_set1_RSICB_v1,success,,,,,,
118,ok,119295165166070493_mini_set0_FLW_v1,success,,,,,,
119,xx,119345635926448573_mini_set1_INS_2_v1,OOM,,,,,,
120,ok,191285892060802399_mini_set1_APL_v1,success,,,,,,
121,xx,11966584963849403_mini_set1_ACT_40_v1,OOM,,,,,,
122,ok,119699739137408722_mini_set0_BCT_v1,success,,,,,,
123,ok,119882761664790862_mini_set2_ACT_410_v1,success,,,,,,
124,ok,120211473057374088_mini_set2_AWA_v1,success,,,,,,
125,ok,19129292329488071_mini_set2_FNG_v1,success,,,,,,
126,ok,191530075459593917_mini_set0_BCT_v1,success,,,,,,
127,ok,19164909405060045_mini_set1_TEX_DTD_v1,success,,,,,,
128,xx,19170250330386585_mini_set2_MD_6_v1,diverged,,,,,,
129,ok,19406934670464921_mini_set1_DOG_v1,success,,,,,,
130,xx,121711753082199864_mini_set2_BTS_v1,success,,,,,,
131,ok,122033920547198830_mini_set2_TEX_ALOT_v1,success,,,,,,
132,xx,19447965377469302_mini_set0_TEX_v1,cuDNN_error,,,,,,
133,ok,19570698116149575_mini_set1_MD_5_BIS_v1,success,,,,,,
134,ok,122406416946294743_mini_set1_TEX_DTD_v1,success,,,,,,
135,ok,12255283752276784_mini_set2_PRT_v1,success,,,,,,
136,ok,12272668543557120_mini_set1_DOG_v1,success,,,,,,
137,ok,12292006187552574_mini_set2_TEX_ALOT_v1,success,,,,,,
138,ok,123387746770273389_mini_set1_RSICB_v1,success,,,,,,
139,ok,12422785411109073_mini_set2_BTS_v1,success,,,,,,
140,ok,124656401751263118_mini_set2_RSD_v1,success,,,,,,
141,ok,124986565237286636_mini_set2_MD_6_v1,success,,,,,,
142,xx,12505560790418583_mini_set0_TEX_v1,AMP,,,,,,
143,xx,12539269722243211_mini_set0_RESISC_v1,diverged,,,,,,
144,ok,12563274013731864_mini_set1_INS_2_v1,success,,,,,,
145,ok,19583998155934720_mini_set1_DOG_v1,success,,,,,,
146,ok,196701390716471295_mini_set1_ACT_40_v1,success,,,,,,
147,ok,19702408558315799_mini_set0_PLK_v1,success,,,,,,
148,ok,19759664439717983_mini_set2_ACT_410_v1,success,,,,,,
149,ok,19795064155795212_mini_set0_RESISC_v1,success,,,,,,
150,xx,19818450987176829_mini_set1_TEX_DTD_v1,AMP,,,,,,
151,ok,198530862181755969_mini_set0_PLT_VIL_v1,success,,,,,,
152,xx,125781389295014663_mini_set2_PRT_v1,AMP,,,,,,
153,xx,126139781218314002_mini_set1_DOG_v1,OOM,,,,,,
154,ok,126161005771978388_mini_set1_RSICB_v1,success,,,,,,
155,ok,126686302496820839_mini_set2_RSD_v1,success,,,,,,
156,ok,12675216317794976_mini_set1_PLT_NET_v1,success,,,,,,
157,ok,12677074133036207_mini_set2_MD_6_v1,success,,,,,,
158,ok,198826981877886495_mini_set0_TEX_v1,success,,,,,,
159,ok,19914006405913386_mini_set0_PLT_VIL_v1,success,,,,,,
160,ok,199161912028391072_mini_set2_RSD_v1,success,,,,,,
161,ok,19964116045046486_mini_set1_MED_LF_v1,success,,,,,,
162,ok,20056787023477519_mini_set2_INS_v1,success,,,,,,
163,ok,2011303323950319_mini_set0_MD_MIX_v1,success,,,,,,
164,xx,201369885687804973_mini_set1_ACT_40_v1,OOM,,,,,,
165,ok,20140134538694383_mini_set1_PNU_v1,success,,,,,,
166,ok,20150082472981051_mini_set0_RESISC_v1,success,,,,,,
167,ok,2025596368514559_mini_set2_FNG_v1,success,,,,,,
168,xx,20402871407484650_mini_set2_PLT_DOC_v1,OOM,,,,,,
169,ok,20431674944342275_mini_set2_MD_6_v1,success,,,,,,
170,ok,205991544226341701_mini_set1_APL_v1,success,,,,,,
171,ok,20568668426048495_mini_set0_BCT_v1,success,,,,,,
172,ok,128066297985587717_mini_set0_TEX_v1,success,,,,,,
173,ok,20753689075626840_mini_set1_RSICB_v1,success,,,,,,
174,xx,12817437242294191_mini_set1_PNU_v1,AMP,,,,,,
175,ok,128732252674250397_mini_set0_CRS_v1,success,,,,,,
176,ok,12844123355636306_mini_set0_CRS_v1,success,,,,,,
177,xx,20811755037169359_mini_set2_PRT_v1,diverged,,,,,,
178,ok,20996964405711983_mini_set0_BCT_v1,success,,,,,,
179,ok,129325888497551554_mini_set0_BRD_v1,success,,,,,,
180,xx,129509780204042345_mini_set1_INS_2_v1,OOM,,,,,,
181,xx,211982912731515_mini_set1_PNU_v1,AMP,,,,,,
182,ok,20744700591037003_mini_set0_MD_MIX_v1,success,,,,,,
183,xx,13219444326810561_mini_set0_MD_MIX_v1,AMP,,,,,,
184,ok,13379068321754999_mini_set0_PLK_v1,success,,,,,,
185,ok,213613133069532979_mini_set0_CRS_v1,success,,,,,,
186,ok,133873805158373524_mini_set2_RSD_v1,success,,,,,,
