invalid_loss_value,max_memory_allocated,final_batch_size,experiment,project,linear_probing,curve_length
False,1182237696,32,29897819468855126_extended_set2_PRT_v1,AFT-EX-02,False,50
False,178544640,4,9379219689126417_extended_set2_RSD_v1,AFT-EX-02,True,1
False,3437897728,4,3749888032235805_extended_set2_AWA_v1,AFT-EX-02,True,1
False,2661770240,16,802829941067238_extended_set0_CRS_v1,AFT-EX-02,False,50
False,1114061824,4,1231010115632444_extended_set1_ACT_40_v1,AFT-EX-02,True,1
False,464862208,8,57904948940512271_extended_set0_BCT_v1,AFT-EX-02,True,1
False,3265733120,8,207286905014783177_extended_set2_RSD_v1,AFT-EX-02,True,1
False,2856711168,8,42105896310143363_extended_set1_APL_v1,AFT-EX-02,False,50
False,7165200896,8,121360357329904948_extended_set1_DOG_v1,AFT-EX-02,True,1
False,995577344,4,905754901999160_extended_set0_CRS_v1,AFT-EX-02,True,1
False,1389726208,256,1291136723455731_extended_set1_PLT_NET_v1,AFT-EX-02,True,1
False,223247872,4,31254531093508700_extended_set2_AWA_v1,AFT-EX-02,False,50
False,180035584,2,55291357831950361_extended_set2_AWA_v1,AFT-EX-02,True,1
False,1592483840,2,40033744784549191_extended_set1_MED_LF_v1,AFT-EX-02,False,50
False,2599685120,2,11100767752813951_extended_set1_TEX_DTD_v1,AFT-EX-02,True,1
False,1361905152,64,244650212712177527_extended_set0_PLK_v1,AFT-EX-02,True,1
False,3972105216,256,17078573767559972_extended_set0_RESISC_v1,AFT-EX-02,True,1
False,174115328,4,130003387034878461_extended_set1_MED_LF_v1,AFT-EX-02,False,50
True,7607354880,16,225176269338599911_extended_set2_AWA_v1,AFT-EX-02,False,1
False,4427134976,256,23029756046803040_extended_set0_PLT_VIL_v1,AFT-EX-02,True,1
False,473312256,8,21114334753948481_extended_set2_FNG_v1,AFT-EX-02,False,50
False,5224572416,2,235488067408717362_extended_set2_FNG_v1,AFT-EX-02,True,1
False,9990661120,2,344366787337111692_extended_set1_MED_LF_v1,AFT-EX-02,False,50
False,1320355840,32,4119619258960875_extended_set1_APL_v1,AFT-EX-02,False,50
False,1202649088,16,16466523088908066_extended_set2_PRT_v1,AFT-EX-02,True,1
False,6424802816,16,70824727724950122_extended_set2_TEX_ALOT_v1,AFT-EX-02,True,1
False,10004941312,4,28789537358314209_extended_set1_PNU_v1,AFT-EX-02,False,50
