"Name","Runtime","Hostname","Notes","GPU Type","GPU Count","Tags","ID","State","User","Group","Job Type","Created","Updated","End Time","Sweep","Description","Commit","GitHub","amp","auto_augment","batch_size","bss_reg","clip_grad","cotuning_reg","cutmix","dataset","decay_epochs","decay_rate","delta_reg","device","drop","layer_decay","lr","mixup","mixup_prob","model","momentum","num_classes","opt","opt_betas","patience_epochs","pct_to_freeze","ra_magnitude","ra_num_ops","random_augment","sched","smoothing","sp_reg","stoch_norm","test_mode","trivial_augment","warmup_epochs","warmup_lr","weight_decay","amp_dtype","amp_impl","aot_autograd","aug_repeats","aug_splits","bce_loss","channels_last","checkpoint_hist","class_map","clip_mode","color_jitter","cooldown_epochs","data_dir","dataset_augmentation_path","dataset_download","decay_milestones","dist_bn","distributed","epoch_repeats","epochs","eval_metric","experiment","fast_norm","fuser","grad_checkpointing","hflip","initial_checkpoint","interpolation","jsd_loss","linear_probing","local_rank","log_interval","log_wandb","lr_base","lr_base_scale","lr_base_size","lr_cycle_decay","lr_cycle_limit","lr_cycle_mul","lr_k_decay","lr_noise_pct","lr_noise_std","min_lr","mixup_mode","mixup_off_epoch","mixup_switch_prob","model_ema","model_ema_decay","model_ema_force_cpu","no_aug","no_ddp_bb","no_prefetcher","no_resume_opt","output","persistent_workers","pin_mem","prefetcher","pretrained","project_name","ra_interpolation","ra_num_magnitude_bins","rank","ratio","recount","recovery_interval","remode","reprob","resplit","resume","save_images","scale","sched_on_updates","seed","split_bn","sync_bn","torchscript","train_interpolation","train_split","tta","use_multi_epochs_loader","val_split","vflip","warmup_prefix","worker_seeding","workers","world_size","epoch","eval_loss","eval_time","eval_top1","eval_top5","train_backbone_grad_norm","train_head_grad_norm","train_loss","train_time"
"97859957963892341_micro_set2_PLT_DOC_v1","9","dlcgpu11","-","","","","ultvwtbw","finished","spinedaa","","","2023-03-01T01:36:28.000Z","2023-03-01T01:36:37.000Z","2023-03-01T01:36:37.000Z","","","","https://github.com/releaunifreiburg/AutoFinetune/tree/e80805c5807311d964581504189ffa2a7ec2a051","true","","8","0.001","10","0.5","0.1","mtlbm/micro/set2/PLT_DOC","90","0.1","0.001","cpu","0.4","0.75","0.0005","1","1","edgenext_xx_small","0.9","20","momentum","","10","0.6","9","3","true","cosine","0.1","0.001","false","false","false","5","0.000001","0.1","float16","native","false","0","0","false","false","1","","norm","0.4","0","datasets/meta-album","","false","[90,180,270]","reduce","false","0","50","top1","97859957963892341_micro_set2_PLT_DOC_v1","false","","false","0.5","","","false","false","0","50","true","0.1","","256","0.5","1","1","1","0.67","1","0","batch","0","0.5","false","0.9998","false","false","false","false","false","experiments/output/metrics/","false","false","true","true","AFT-MC-00","nearest","31","0","[0.75,1.3333333333333333]","1","0","pixel","0","false","","false","[0.08,1]","false","42","false","false","false","random","train","0","false","val","0","false","all","4","1","","","","","","","","",""
"97661180749605290_micro_set1_RSICB_v1","12","dlcgpu11","-","","","","mhl6made","finished","spinedaa","","","2023-03-01T01:35:59.000Z","2023-03-01T01:36:11.000Z","2023-03-01T01:36:11.000Z","","","","https://github.com/releaunifreiburg/AutoFinetune/tree/e80805c5807311d964581504189ffa2a7ec2a051","false","","32","0.1","10","4","1","mtlbm/micro/set1/RSICB","10","0.1","0.1","cpu","0.1","0.65","0.005","0","0.25","xcit_nano_12_p8_384_dist","0.9","20","adamp","[0,0.99]","10","0.8","8","2","false","step","0.05","0.1","true","true","false","10","0","0.1","float16","native","false","0","0","false","false","1","","norm","0.4","0","datasets/meta-album","","false","[90,180,270]","reduce","false","0","50","top1","97661180749605290_micro_set1_RSICB_v1","false","","false","0.5","","","false","false","0","50","true","0.1","","256","0.5","1","1","1","0.67","1","0","batch","0","0.5","false","0.9998","false","false","false","false","false","experiments/output/metrics/","false","false","true","true","AFT-MC-00","nearest","31","0","[0.75,1.3333333333333333]","1","0","pixel","0","false","","false","[0.08,1]","false","42","false","false","false","random","train","0","false","val","0","false","all","4","1","","","","","","","","",""
"9712655180058947_micro_set2_RSD_v1","9","dlcgpu11","-","","","","yv0kj12g","finished","spinedaa","","","2023-03-01T01:35:44.000Z","2023-03-01T01:35:53.000Z","2023-03-01T01:35:53.000Z","","","","https://github.com/releaunifreiburg/AutoFinetune/tree/e80805c5807311d964581504189ffa2a7ec2a051","true","","8","0.1","","0.5","0","mtlbm/micro/set2/RSD","90","0.1","0.001","cpu","0.2","","0.0005","0.4","0.25","edgenext_xx_small","0.9","20","adamp","[0,0.99]","10","0.8","8","2","false","cosine","0.05","0.001","true","true","false","5","0","0.01","float16","native","false","0","0","false","false","1","","norm","0.4","0","datasets/meta-album","","false","[90,180,270]","reduce","false","0","50","top1","9712655180058947_micro_set2_RSD_v1","false","","false","0.5","","","false","false","0","50","true","0.1","","256","0.5","1","1","1","0.67","1","0","batch","0","0.5","false","0.9998","false","false","false","false","false","experiments/output/metrics/","false","false","true","true","AFT-MC-00","nearest","31","0","[0.75,1.3333333333333333]","1","0","pixel","0","false","","false","[0.08,1]","false","42","false","false","false","random","train","0","false","val","0","false","all","4","1","","","","","","","","",""
"96833742206036056_micro_set2_PLT_DOC_v1","12","dlcgpu11","-","","","","z422ty0e","finished","spinedaa","","","2023-03-01T01:35:26.000Z","2023-03-01T01:35:38.000Z","2023-03-01T01:35:38.000Z","","","","https://github.com/releaunifreiburg/AutoFinetune/tree/e80805c5807311d964581504189ffa2a7ec2a051","false","original","512","0","1","0","1","mtlbm/micro/set2/PLT_DOC","90","0.1","0.1","cpu","0.4","0.75","0.005","0.2","0.5","beit_base_patch16_384","0.95","20","momentum","","10","0.6","8","2","false","cosine","0.05","0.1","false","true","false","0","0.00001","0","float16","native","false","0","0","false","false","1","","norm","0.4","0","datasets/meta-album","","false","[90,180,270]","reduce","false","0","50","top1","96833742206036056_micro_set2_PLT_DOC_v1","false","","false","0.5","","","false","false","0","50","true","0.1","","256","0.5","1","1","1","0.67","1","0","batch","0","0.5","false","0.9998","false","false","false","false","false","experiments/output/metrics/","false","false","true","true","AFT-MC-00","nearest","31","0","[0.75,1.3333333333333333]","1","0","pixel","0","false","","false","[0.08,1]","false","42","false","false","false","random","train","0","false","val","0","false","all","4","1","","","","","","","","",""
"9681684361749438_micro_set2_ACT_410_v1","125","dlcgpu19","-","NVIDIA GeForce RTX 2080 Ti","1","","j1s0lk8j","finished","spinedaa","","","2023-03-01T01:35:22.000Z","2023-03-01T01:37:27.000Z","2023-03-01T01:37:27.000Z","","","","https://github.com/releaunifreiburg/AutoFinetune/tree/e80805c5807311d964581504189ffa2a7ec2a051","false","","16","0.1","1","0.5","0.1","mtlbm/micro/set2/ACT_410","90","0.1","0.1","cuda:0","0.3","","0.0001","0.4","0.5","mobilevit_xxs","0.9","20","sgd","","5","1","8","2","false","plateau","0","0","true","false","true","5","0","0.01","float16","native","false","0","0","false","false","1","","norm","0.4","0","datasets/meta-album","","false","[90,180,270]","reduce","false","0","50","top1","9681684361749438_micro_set2_ACT_410_v1","false","","false","0.5","","","false","false","0","50","true","0.1","","256","0.5","1","1","1","0.67","1","0","batch","0","0.5","false","0.9998","false","false","false","false","false","experiments/output/metrics/","false","false","true","true","AFT-MC-00","nearest","31","0","[0.75,1.3333333333333333]","1","0","pixel","0","false","","false","[0.08,1]","false","42","false","false","false","random","train","0","false","val","0","false","all","4","1","49","3.139070987701416","0.5397922992706299","6.25","25","0.2038781471522078","0.9789956142606212","633.0257069905599","1.7134184837341309"
"96465057899610574_micro_set2_RSD_v1","146","dlcgpu27","-","NVIDIA GeForce RTX 2080 Ti","1","","kx97dsao","finished","spinedaa","","","2023-03-01T01:35:15.000Z","2023-03-01T01:37:41.000Z","2023-03-01T01:37:41.000Z","","","","https://github.com/releaunifreiburg/AutoFinetune/tree/e80805c5807311d964581504189ffa2a7ec2a051","false","original","64","0.01","10","4","0.25","mtlbm/micro/set2/RSD","90","0.1","0.1","cuda:0","0.3","0.65","0.01","0.2","0.75","mobilevitv2_075","0.9","20","adam","[0,0.999]","10","1","8","2","false","cosine","0.1","0.1","true","true","false","0","0.000001","0","float16","native","false","0","0","false","false","1","","norm","0.4","0","datasets/meta-album","","false","[90,180,270]","reduce","false","0","50","top1","96465057899610574_micro_set2_RSD_v1","false","","false","0.5","","","false","false","0","50","true","0.1","","256","0.5","1","1","1","0.67","1","0","batch","0","0.5","false","0.9998","false","false","false","false","false","experiments/output/metrics/","false","false","true","true","AFT-MC-00","nearest","31","0","[0.75,1.3333333333333333]","1","0","pixel","0","false","","false","[0.08,1]","false","42","false","false","false","random","train","0","false","val","0","false","all","4","1","49","2.191041946411133","0.6528160572052002","35","78.125","0.03469035754094005","0.5465335804395517","424.13219778878346","1.830395460128784"
"9607994201963102_micro_set1_ACT_40_v1","9","dlcgpu11","-","","","","w8ez64m0","finished","spinedaa","","","2023-03-01T01:35:10.000Z","2023-03-01T01:35:19.000Z","2023-03-01T01:35:19.000Z","","","","https://github.com/releaunifreiburg/AutoFinetune/tree/e80805c5807311d964581504189ffa2a7ec2a051","false","","256","0.0001","1","4","1","mtlbm/micro/set1/ACT_40","90","0.1","0.001","cpu","0.3","0.65","0.0001","2","0.5","xcit_tiny_12_p8_384_dist","0.9","20","sgd","","10","0.2","17","2","true","cosine","0.05","0","false","false","false","5","0","0.01","float16","native","false","0","0","false","false","1","","norm","0.4","0","datasets/meta-album","","false","[90,180,270]","reduce","false","0","50","top1","9607994201963102_micro_set1_ACT_40_v1","false","","false","0.5","","","false","false","0","50","true","0.1","","256","0.5","1","1","1","0.67","1","0","batch","0","0.5","false","0.9998","false","false","false","false","false","experiments/output/metrics/","false","false","true","true","AFT-MC-00","nearest","31","0","[0.75,1.3333333333333333]","1","0","pixel","0","false","","false","[0.08,1]","false","42","false","false","false","random","train","0","false","val","0","false","all","4","1","","","","","","","","",""
"9572650725117124_micro_set2_MD_6_v1","9","dlcgpu11","-","","","","4ygziwbt","finished","spinedaa","","","2023-03-01T01:34:54.000Z","2023-03-01T01:35:03.000Z","2023-03-01T01:35:03.000Z","","","","https://github.com/releaunifreiburg/AutoFinetune/tree/e80805c5807311d964581504189ffa2a7ec2a051","false","","64","0.01","","2","2","mtlbm/micro/set2/MD_6","90","0.1","0.001","cpu","0","0.75","0.001","0","0","tf_efficientnet_b4_ns","0.9","20","sgd","","10","1","17","2","true","cosine","0","0.01","true","true","false","0","0","0.01","float16","native","false","0","0","false","false","1","","norm","0.4","0","datasets/meta-album","","false","[90,180,270]","reduce","false","0","50","top1","9572650725117124_micro_set2_MD_6_v1","false","","false","0.5","","","false","false","0","50","true","0.1","","256","0.5","1","1","1","0.67","1","0","batch","0","0.5","false","0.9998","false","false","false","false","false","experiments/output/metrics/","false","false","true","true","AFT-MC-00","nearest","31","0","[0.75,1.3333333333333333]","1","0","pixel","0","false","","false","[0.08,1]","false","42","false","false","false","random","train","0","false","val","0","false","all","4","1","","","","","","","","",""
"9550200732394731_micro_set1_DOG_v1","33","dlcgpu19","-","NVIDIA GeForce RTX 2080 Ti","1","","64rm140d","finished","spinedaa","","","2023-03-01T01:34:42.000Z","2023-03-01T01:35:15.000Z","2023-03-01T01:35:15.000Z","","","","https://github.com/releaunifreiburg/AutoFinetune/tree/e80805c5807311d964581504189ffa2a7ec2a051","true","","256","0.001","","4","0.1","mtlbm/micro/set1/DOG","20","0.1","0.0001","cuda:0","0","","0.00001","0.2","0","swinv2_base_window12to24_192to384_22kft1k","0.9","19","adam","[0.9,0.999]","10","0.4","8","2","false","multistep","0.05","0.0001","true","true","true","0","0","0.01","float16","native","false","0","0","false","false","1","","norm","0.4","0","datasets/meta-album","","false","[90,180,270]","reduce","false","0","50","top1","9550200732394731_micro_set1_DOG_v1","false","","false","0.5","","","false","false","0","50","true","0.1","","256","0.5","1","1","1","0.67","1","0","batch","0","0.5","false","0.9998","false","false","false","false","false","experiments/output/metrics/","false","false","true","true","AFT-MC-00","nearest","31","0","[0.75,1.3333333333333333]","1","0","pixel","0","false","","false","[0.08,1]","false","42","false","false","false","random","train","0","false","val","0","false","all","4","1","0","3.0244140625","0.7839405536651611","0","31.25","Infinity","7.894646713792044","14.956531524658203","1.785106897354126"
"95335043525029760_micro_set0_BCT_v1","28","dlcgpu43","-","NVIDIA GeForce RTX 2080 Ti","1","","ykvjpxa1","finished","spinedaa","","","2023-03-01T01:34:40.000Z","2023-03-01T01:35:08.000Z","2023-03-01T01:35:08.000Z","","","","https://github.com/releaunifreiburg/AutoFinetune/tree/e80805c5807311d964581504189ffa2a7ec2a051","false","original","256","0.001","1","0.5","0","mtlbm/micro/set0/BCT","20","0.5","0","cuda:0","0.4","0.75","0.001","0","0.25","xcit_nano_12_p8_384_dist","0.9","20","adamw","[0.9,0.999]","10","0","8","2","false","step","0.05","0.1","false","true","false","10","0.000001","0.00001","float16","native","false","0","0","false","false","1","","norm","0.4","0","datasets/meta-album","","false","[90,180,270]","reduce","false","0","50","top1","95335043525029760_micro_set0_BCT_v1","false","","false","0.5","","","false","false","0","50","true","0.1","","256","0.5","1","1","1","0.67","1","0","batch","0","0.5","false","0.9998","false","false","false","false","false","experiments/output/metrics/","false","false","true","true","AFT-MC-00","nearest","31","0","[0.75,1.3333333333333333]","1","0","pixel","0","false","","false","[0.08,1]","false","42","false","false","false","random","train","0","false","val","0","false","all","4","1","0","3.5353853702545166","0.634791374206543","9.375","28.125","0.9952907567936652","0.09693391087558034","5.833453178405762","2.0462522506713867"
