invalid_loss_value,max_memory_allocated,final_batch_size,experiment,project,linear_probing,curve_length
False,10495120896,128,5846264731616416_mini_set1_MD_5_BIS_v1,AFT-MN-00,False,50
False,8483381248,32,22017652489728890_mini_set2_ACT_410_v1,AFT-MN-00,True,50
False,398011392,64,160971987117537173_mini_set2_INS_v1,AFT-MN-00,True,50
True,10141241856,8,249934058362825317_mini_set1_PLT_NET_v1,AFT-MN-00,False,1
False,9969342976,4,16803564080729980_mini_set2_ACT_410_v1,AFT-MN-00,False,1
False,734314496,2,113833111932940555_mini_set1_RSICB_v1,AFT-MN-00,False,50
False,1926370304,128,66702260685169020_mini_set2_RSD_v1,AFT-MN-00,False,50
False,6048029696,4,30537381878934033_mini_set2_INS_v1,AFT-MN-00,False,50
False,45842944,8,33899368812112949_mini_set1_RSICB_v1,AFT-MN-00,False,50
False,43001344,2,14159425289965632_mini_set2_AWA_v1,AFT-MN-00,True,50
False,9963774976,8,70858965195120498_mini_set0_TEX_v1,AFT-MN-00,False,50
False,433516032,4,5410382534753024_mini_set0_BCT_v1,AFT-MN-00,False,50
False,412497920,2,13933017921631933_mini_set2_ACT_410_v1,AFT-MN-00,True,50
False,779037184,128,23606166295118623_mini_set1_DOG_v1,AFT-MN-00,True,50
False,9987492864,4,54527049768023196_mini_set1_DOG_v1,AFT-MN-00,False,1
False,1270640128,128,63208310278062703_mini_set0_FLW_v1,AFT-MN-00,False,50
False,758871552,32,391412237170310613_mini_set2_TEX_ALOT_v1,AFT-MN-00,False,50
False,4317891072,8,26525064251448383_mini_set2_INS_v1,AFT-MN-00,False,50
False,3382224896,2,64114602768045846_mini_set2_RSD_v1,AFT-MN-00,True,50
False,8710074368,32,65985460306380981_mini_set2_ACT_410_v1,AFT-MN-00,False,50
False,5014359552,64,1634396978547334_mini_set0_SPT_v1,AFT-MN-00,False,50
False,1007678976,32,18960481870512147_mini_set1_DOG_v1,AFT-MN-00,True,50
False,10075239424,2,22937815076485571_mini_set1_PLT_NET_v1,AFT-MN-00,False,50
False,10424437248,2,13353556674570982_mini_set1_RSICB_v1,AFT-MN-00,False,1
False,7148299264,8,67248714555814721_mini_set1_PNU_v1,AFT-MN-00,False,50
False,754557952,16,30096018372699511_mini_set0_PLT_VIL_v1,AFT-MN-00,False,50
False,1614583808,16,149587867674416310_mini_set1_MD_5_BIS_v1,AFT-MN-00,True,50
False,2791635456,4,107150789681904098_mini_set1_DOG_v1,AFT-MN-00,True,50
False,10052947456,4,37636845171137686_mini_set1_MD_5_BIS_v1,AFT-MN-00,False,1
False,8750728192,128,146236316218640583_mini_set1_MD_5_BIS_v1,AFT-MN-00,False,50
False,2485598208,16,21713769986177814_mini_set2_RSD_v1,AFT-MN-00,True,50
False,10348631552,8,7187463172248692_mini_set0_PLK_v1,AFT-MN-00,False,50
False,10437275136,16,71714534482055389_mini_set2_TEX_ALOT_v1,AFT-MN-00,False,50
False,6683276800,8,37317994179255220_mini_set2_PLT_DOC_v1,AFT-MN-00,True,50
False,893911040,32,42836674891818122_mini_set0_CRS_v1,AFT-MN-00,True,50
False,10365940736,32,102341857848254040_mini_set1_ACT_40_v1,AFT-MN-00,False,1
False,6781817344,32,136598468157528704_mini_set2_INS_v1,AFT-MN-00,False,50
False,8878961152,32,26015438096437514_mini_set2_PRT_v1,AFT-MN-00,False,50
True,10210809344,8,124305678195933613_mini_set1_TEX_DTD_v1,AFT-MN-00,False,1
False,8436241408,256,26776791891684826_mini_set2_TEX_ALOT_v1,AFT-MN-00,False,1
False,9641370112,64,15103622495800380_mini_set1_RSICB_v1,AFT-MN-00,False,1
False,1592316416,2,33714459251942310_mini_set2_AWA_v1,AFT-MN-00,True,50
False,470651392,4,42542119987115312_mini_set2_AWA_v1,AFT-MN-00,False,50
False,10178355200,16,75427591892838929_mini_set1_PLT_NET_v1,AFT-MN-00,False,1
False,7212877312,256,1063731798412828_mini_set1_PLT_NET_v1,AFT-MN-00,False,50
False,10379999232,8,115318795335204771_mini_set0_MD_MIX_v1,AFT-MN-00,False,1
False,10435140096,16,73210048757477630_mini_set1_INS_2_v1,AFT-MN-00,False,1
False,10359911424,16,160563230698755160_mini_set2_RSD_v1,AFT-MN-00,False,1
False,9143451136,64,133999162783420066_mini_set2_RSD_v1,AFT-MN-00,False,50
False,59401216,4,23935129208779125_mini_set0_BRD_v1,AFT-MN-00,False,50
False,775025152,32,15283068642584126_mini_set0_PLK_v1,AFT-MN-00,False,50
False,5023910912,8,7278077100410968_mini_set1_ACT_40_v1,AFT-MN-00,True,50
False,10316084224,8,106312632037749386_mini_set1_MED_LF_v1,AFT-MN-00,False,50
False,9993596928,4,20744700591037003_mini_set0_MD_MIX_v1,AFT-MN-00,False,1
False,10077626368,2,7221894931767509_mini_set1_PNU_v1,AFT-MN-00,False,1
False,10420301824,32,12773659256001265_mini_set0_FLW_v1,AFT-MN-00,False,1
False,3798907392,256,333526413920561690_mini_set2_MD_6_v1,AFT-MN-00,False,50
False,10022222336,2,3490665331133800_mini_set1_APL_v1,AFT-MN-00,False,1
False,3789863936,512,59786094582151271_mini_set0_CRS_v1,AFT-MN-00,True,50
False,41715712,2,16079652352703701_mini_set2_PRT_v1,AFT-MN-00,True,50
False,1841523200,2,305375206977527185_mini_set0_RESISC_v1,AFT-MN-00,False,50
False,273873408,8,349188224879259005_mini_set0_BCT_v1,AFT-MN-00,False,50
