invalid_loss_value,max_memory_allocated,final_batch_size,experiment,project,linear_probing,curve_length
False,10359448576,16,13093545596115886_tfds-icgen_cifar100_10_v1,AFT-ZAP-00,False,1
False,10116151808,256,109078665559162487_tfds-icgen_imagenette_14_v1,AFT-ZAP-00,False,1
False,1894990336,32,112308438858153596_tfds-icgen_visual_domain_decathlon_dtd_9_v1,AFT-ZAP-00,False,50
False,807304704,16,15269532128715193_tfds-icgen_cmaterdb_devanagari_9_v1,AFT-ZAP-00,False,50
False,10314542080,32,13879899798864527_tfds-icgen_cars196_8_v1,AFT-ZAP-00,False,50
True,1785710080,256,16016704392828165_tfds-icgen_cmaterdb_devanagari_4_v1,AFT-ZAP-00,True,27
False,689589760,8,158923689148381091_tfds-icgen_oxford_iiit_pet_6_v1,AFT-ZAP-00,False,50
False,10296549888,4,103179607969326332_tfds-icgen_svhn_cropped_13_v1,AFT-ZAP-00,False,1
False,10402555392,8,15803223270940392_tfds-icgen_oxford_iiit_pet_2_v1,AFT-ZAP-00,False,50
False,9912788992,16,167979380375308840_tfds-icgen_colorectal_histology_14_v1,AFT-ZAP-00,False,1
False,9879953408,4,17215939808668290_tfds-icgen_cycle_gan_summer2winter_yosemite_10_v1,AFT-ZAP-00,False,1
False,7741328896,128,11617869221725603_tfds-icgen_cycle_gan_facades_2_v1,AFT-ZAP-00,False,50
False,9908554752,2,160368329952879_tfds-icgen_cifar100_15_v1,AFT-ZAP-00,False,50
False,10111244288,4,103517931199496341_tfds-icgen_caltech101_4_v1,AFT-ZAP-00,False,50
False,9859995648,8,1166891555510812_tfds-icgen_cassava_5_v1,AFT-ZAP-00,False,1
True,463279616,2,1106729962332985_tfds-icgen_cycle_gan_vangogh2photo_11_v1,AFT-ZAP-00,True,26
False,2593425408,2,154761636988582147_tfds-icgen_rock_paper_scissors_6_v1,AFT-ZAP-00,False,50
False,5846575616,16,11696723720933352_tfds-icgen_caltech101_7_v1,AFT-ZAP-00,False,50
False,698390528,2,169609530835760364_tfds-icgen_cycle_gan_summer2winter_yosemite_12_v1,AFT-ZAP-00,True,50
True,2965999616,32,11343911334514803_tfds-icgen_visual_domain_decathlon_dtd_12_v1,AFT-ZAP-00,True,26
False,206605312,8,117537983786976287_tfds-icgen_deep_weeds_3_v1,AFT-ZAP-00,False,50
False,10296079360,128,13095311096591423_tfds-icgen_cars196_1_v1,AFT-ZAP-00,False,1
False,32313344,2,17338252826577330_tfds-icgen_imagenette_15_v1,AFT-ZAP-00,True,50
True,6411070976,128,110269883348299867_tfds-icgen_cycle_gan_horse2zebra_4_v1,AFT-ZAP-00,True,26
False,10287506944,16,136188148168163568_tfds-icgen_cycle_gan_summer2winter_yosemite_12_v1,AFT-ZAP-00,False,1
False,6461790208,16,11044583735878788_tfds-icgen_cycle_gan_horse2zebra_11_v1,AFT-ZAP-00,False,50
False,9989469184,2,126821275898706075_tfds-icgen_cmaterdb_devanagari_15_v1,AFT-ZAP-00,False,1
False,1868855808,16,1181250735933013_tfds-icgen_oxford_iiit_pet_1_v1,AFT-ZAP-00,False,50
False,2621184512,32,11205013713831062_tfds-icgen_cmaterdb_bangla_1_v1,AFT-ZAP-00,True,50
False,10442425344,8,122126442848865028_tfds-icgen_cycle_gan_horse2zebra_7_v1,AFT-ZAP-00,False,50
False,107983872,16,172146987922794649_tfds-icgen_cycle_gan_iphone2dslr_flower_14_v1,AFT-ZAP-00,True,50
False,1523984384,256,11668156903133079_tfds-icgen_tf_flowers_7_v1,AFT-ZAP-00,False,50
False,1693906432,4,1584314978210174_tfds-icgen_cycle_gan_maps_7_v1,AFT-ZAP-00,False,50
False,230407680,8,14343227809801312_tfds-icgen_cmaterdb_telugu_10_v1,AFT-ZAP-00,True,50
False,5664138752,256,13202847941156672_tfds-icgen_cycle_gan_summer2winter_yosemite_15_v1,AFT-ZAP-00,False,50
False,2626382848,8,14957322873220372_tfds-icgen_stanford_dogs_7_v1,AFT-ZAP-00,False,50
False,10240048128,16,13195825117303262_tfds-icgen_deep_weeds_6_v1,AFT-ZAP-00,False,50
False,1879667200,64,15781884040458532_tfds-icgen_caltech101_12_v1,AFT-ZAP-00,False,50
False,9557421056,16,1294079197822641_tfds-icgen_cycle_gan_apple2orange_10_v1,AFT-ZAP-00,False,1
False,9925440512,2,121771657258163519_tfds-icgen_cycle_gan_ukiyoe2photo_4_v1,AFT-ZAP-00,False,1
False,10420108288,8,139608456974673854_tfds-icgen_cmaterdb_telugu_14_v1,AFT-ZAP-00,False,50
False,10175578112,4,12967975570475895_tfds-icgen_fashion_mnist_8_v1,AFT-ZAP-00,False,1
False,2777675264,8,15502358693109317_tfds-icgen_cmaterdb_telugu_1_v1,AFT-ZAP-00,False,50
False,409967104,8,102469226804747050_tfds-icgen_horses_or_humans_8_v1,AFT-ZAP-00,True,50
False,630771712,4,172230334944233096_tfds-icgen_rock_paper_scissors_1_v1,AFT-ZAP-00,True,50
False,779927040,64,149506665805337842_tfds-icgen_stanford_dogs_13_v1,AFT-ZAP-00,True,50
False,10338121216,32,1165905454997118_tfds-icgen_tf_flowers_3_v1,AFT-ZAP-00,False,50
False,10376937472,4,12676395387859584_tfds-icgen_stanford_dogs_8_v1,AFT-ZAP-00,False,1
False,2346779136,64,110828630639081458_tfds-icgen_caltech101_5_v1,AFT-ZAP-00,True,50
True,252082176,16,17308550521417561_tfds-icgen_cycle_gan_iphone2dslr_flower_2_v1,AFT-ZAP-00,True,26
True,8812623360,2,16201189592935723_tfds-icgen_cmaterdb_bangla_10_v1,AFT-ZAP-00,True,1
False,9563581952,128,137255098472527534_tfds-icgen_cassava_2_v1,AFT-ZAP-00,False,1
False,10322394112,8,15098317830909550_tfds-icgen_oxford_iiit_pet_7_v1,AFT-ZAP-00,False,1
False,10236650496,32,13872635726023508_tfds-icgen_imagenette_2_v1,AFT-ZAP-00,False,1
False,4116840960,4,15726274230946016_tfds-icgen_visual_domain_decathlon_dtd_9_v1,AFT-ZAP-00,True,50
False,10333504000,2,154931194520054295_tfds-icgen_cmaterdb_telugu_6_v1,AFT-ZAP-00,False,1
True,9184570368,2,1560764438825635_tfds-icgen_colorectal_histology_13_v1,AFT-ZAP-00,True,40
True,261520384,2,127037502941774239_tfds-icgen_fashion_mnist_9_v1,AFT-ZAP-00,True,26
