output_state,experiment,diagnosis
xx,119345635926448573_mini_set1_INS_2_v1,OOM
ok,191285892060802399_mini_set1_APL_v1,success
xx,11966584963849403_mini_set1_ACT_40_v1,OOM
ok,119699739137408722_mini_set0_BCT_v1,success
ok,119882761664790862_mini_set2_ACT_410_v1,success
ok,120211473057374088_mini_set2_AWA_v1,success
ok,19129292329488071_mini_set2_FNG_v1,success
ok,191530075459593917_mini_set0_BCT_v1,success
ok,19164909405060045_mini_set1_TEX_DTD_v1,success
xx,19170250330386585_mini_set2_MD_6_v1,diverged
ok,19406934670464921_mini_set1_DOG_v1,success
xx,121711753082199864_mini_set2_BTS_v1,success
ok,122033920547198830_mini_set2_TEX_ALOT_v1,success
xx,19447965377469302_mini_set0_TEX_v1,cuDNN_error
ok,19570698116149575_mini_set1_MD_5_BIS_v1,success
ok,122406416946294743_mini_set1_TEX_DTD_v1,success
ok,12255283752276784_mini_set2_PRT_v1,success
ok,12272668543557120_mini_set1_DOG_v1,success
ok,12292006187552574_mini_set2_TEX_ALOT_v1,success
ok,123387746770273389_mini_set1_RSICB_v1,success
ok,12422785411109073_mini_set2_BTS_v1,success
ok,124656401751263118_mini_set2_RSD_v1,success
ok,124986565237286636_mini_set2_MD_6_v1,success
xx,12505560790418583_mini_set0_TEX_v1,AMP
xx,12539269722243211_mini_set0_RESISC_v1,diverged
ok,12563274013731864_mini_set1_INS_2_v1,success
ok,19583998155934720_mini_set1_DOG_v1,success
ok,196701390716471295_mini_set1_ACT_40_v1,success
ok,19702408558315799_mini_set0_PLK_v1,success
ok,19759664439717983_mini_set2_ACT_410_v1,success
ok,19795064155795212_mini_set0_RESISC_v1,success
xx,19818450987176829_mini_set1_TEX_DTD_v1,AMP
ok,198530862181755969_mini_set0_PLT_VIL_v1,success
xx,125781389295014663_mini_set2_PRT_v1,AMP
xx,126139781218314002_mini_set1_DOG_v1,OOM
ok,126161005771978388_mini_set1_RSICB_v1,success
ok,126686302496820839_mini_set2_RSD_v1,success
ok,12675216317794976_mini_set1_PLT_NET_v1,success
ok,12677074133036207_mini_set2_MD_6_v1,success
ok,198826981877886495_mini_set0_TEX_v1,success
ok,19914006405913386_mini_set0_PLT_VIL_v1,success
ok,199161912028391072_mini_set2_RSD_v1,success
ok,19964116045046486_mini_set1_MED_LF_v1,success
ok,20056787023477519_mini_set2_INS_v1,success
ok,2011303323950319_mini_set0_MD_MIX_v1,success
xx,201369885687804973_mini_set1_ACT_40_v1,OOM
ok,20140134538694383_mini_set1_PNU_v1,success
ok,20150082472981051_mini_set0_RESISC_v1,success
ok,2025596368514559_mini_set2_FNG_v1,success
xx,20402871407484650_mini_set2_PLT_DOC_v1,OOM
ok,20431674944342275_mini_set2_MD_6_v1,success
ok,205991544226341701_mini_set1_APL_v1,success
ok,20568668426048495_mini_set0_BCT_v1,success
ok,128066297985587717_mini_set0_TEX_v1,success
ok,20753689075626840_mini_set1_RSICB_v1,success
xx,12817437242294191_mini_set1_PNU_v1,AMP
ok,128732252674250397_mini_set0_CRS_v1,success
ok,12844123355636306_mini_set0_CRS_v1,success
xx,20811755037169359_mini_set2_PRT_v1,diverged
ok,20996964405711983_mini_set0_BCT_v1,success
ok,129325888497551554_mini_set0_BRD_v1,success
xx,129509780204042345_mini_set1_INS_2_v1,OOM
xx,211982912731515_mini_set1_PNU_v1,AMP
ok,20744700591037003_mini_set0_MD_MIX_v1,success
xx,13219444326810561_mini_set0_MD_MIX_v1,AMP
ok,13379068321754999_mini_set0_PLK_v1,success
ok,213613133069532979_mini_set0_CRS_v1,success
ok,133873805158373524_mini_set2_RSD_v1,success
ok,21476065605981676_mini_set2_MD_6_v1,success
ok,21483731094465374_mini_set0_RESISC_v1,success
ok,21560095912203906_mini_set1_PLT_NET_v1,success
ok,21789423099549955_mini_set2_PLT_DOC_v1,success
ok,21713769986177814_mini_set2_RSD_v1,success
ok,21817989625347313_mini_set0_CRS_v1,success
ok,134652913745460135_mini_set2_FNG_v1,success
ok,21451000145922389_mini_set2_MD_6_v1,success
xx,21845288277378024_mini_set1_MD_5_BIS_v1,NoCUDA
xx,2185614113154365_mini_set1_RSICB_v1,NoCUDA
xx,2193882022408505_mini_set0_TEX_v1,NoCUDA
ok,22017652489728890_mini_set2_ACT_410_v1,success
xx,13631069259434466_mini_set0_FLW_v1,NoCUDA
ok,22049721896407896_mini_set2_PLT_DOC_v1,success
xx,22095604763921331_mini_set0_RESISC_v1,AMP
ok,221699825931165952_mini_set2_PLT_DOC_v1,success
ok,22199253631575383_mini_set2_INS_v1,success
xx,22211088045044457_mini_set1_ACT_40_v1,AMP
xx,22347333872977300_mini_set2_PRT_v1,OOM
ok,224359816512293567_mini_set0_RESISC_v1,success
xx,13711745415243045_mini_set0_SPT_v1,OOM
ok,137249535340454961_mini_set1_APL_v1,success
ok,22600273658329108_mini_set1_PNU_v1,success
ok,22623114356636939_mini_set2_FNG_v1,success
ok,22685419152591035_mini_set2_PLT_DOC_v1,success
ok,22815179777630122_mini_set1_RSICB_v1,success
ok,22699970884148305_mini_set0_CRS_v1,success
ok,13775615448537268_mini_set0_CRS_v1,success
ok,2295418263156179_mini_set1_PLT_NET_v1,success
ok,101449176740089726_mini_set1_DOG_v1,success
ok,100239152903273275_mini_set2_PRT_v1,success
ok,100423834391031358_mini_set0_MD_MIX_v1,success
ok,10083814934861020_mini_set2_TEX_ALOT_v1,success
xx,10017762325121273_mini_set0_BCT_v1,diverged
ok,100281397475676210_mini_set1_TEX_DTD_v1,success
ok,100321137860067916_mini_set0_SPT_v1,success
ok,100563378487690834_mini_set0_BCT_v1,success
ok,100160203634018772_mini_set0_BCT_v1,success
ok,10011670665608324_mini_set2_PRT_v1,success
ok,100127337910306834_mini_set2_ACT_410_v1,success
xx,100137654139182253_mini_set2_ACT_410_v1,AMP
ok,1001027908207854_mini_set0_CRS_v1,success
ok,10037275841525775_mini_set0_RESISC_v1,success
ok,10097053711253041_mini_set2_INS_v1,success
ok,100421623334194238_mini_set2_RSD_v1,success
ok,101651263000499141_mini_set0_TEX_v1,success
ok,100562185288038229_mini_set1_PLT_NET_v1,success
xx,100313958514010469_mini_set2_ACT_410_v1,OOM
ok,100696788331297854_mini_set1_MD_5_BIS_v1,success
ok,10175609899294998_mini_set1_PLT_NET_v1,success
ok,10048875301630839_mini_set2_TEX_ALOT_v1,success
ok,100317808712675780_mini_set2_INS_v1,success
ok,10056729486034908_mini_set2_PRT_v1,success
ok,102440144513217581_mini_set2_RSD_v1,success
ok,102140113730643895_mini_set0_PLK_v1,success
ok,100747707999089996_mini_set0_BCT_v1,success
xx,10082379963161573_mini_set1_MED_LF_v1,AMP
ok,101152828757641350_mini_set2_AWA_v1,success
ok,10154715291441110_mini_set0_PLK_v1,success
ok,101872690205721451_mini_set2_PLT_DOC_v1,success
xx,101272339251196442_mini_set1_TEX_DTD_v1,OOM
ok,100551476461653760_mini_set2_INS_v1,success
ok,10087411443281611_mini_set1_DOG_v1,success
ok,10221447284353102_mini_set2_MD_6_v1,success
ok,102689076860535248_mini_set0_MD_MIX_v1,success
xx,102187473783171251_mini_set1_PNU_v1,AMP
xx,10124468896061729_mini_set2_AWA_v1,AMP
ok,100368800628112646_mini_set0_FLW_v1,success
ok,23007148667950520_mini_set0_SPT_v1,success
ok,100504369193986802_mini_set0_MD_MIX_v1,success
ok,102560541396477026_mini_set0_RESISC_v1,success
ok,101862473024417780_mini_set0_BRD_v1,success
ok,100880203078553510_mini_set1_TEX_DTD_v1,success
ok,102724358968054043_mini_set2_PLT_DOC_v1,success
xx,1001190573203910_mini_set0_CRS_v1,OOM
ok,1034225960328505_mini_set0_BRD_v1,success
ok,101164895536564772_mini_set0_RESISC_v1,success
xx,1010533982134841_mini_set0_SPT_v1,cuDNN_error
ok,10113441139066147_mini_set0_TEX_v1,success
ok,23014107361307581_mini_set2_AWA_v1,success
xx,23012728800455665_mini_set0_CRS_v1,OOM
ok,10248098137293517_mini_set0_TEX_v1,success
ok,102237115359515632_mini_set2_AWA_v1,success
xx,103099178845248025_mini_set1_MED_LF_v1,AMP
ok,102367668661533179_mini_set2_TEX_ALOT_v1,success
ok,102237274856900689_mini_set1_ACT_40_v1,success
ok,10395875114466109_mini_set1_PNU_v1,success
ok,23194510069987399_mini_set2_AWA_v1,success
ok,10238417762986917_mini_set1_MD_5_BIS_v1,success
ok,102697465800734518_mini_set0_BCT_v1,success
ok,10326633133386167_mini_set0_RESISC_v1,success
ok,1025370867813063_mini_set1_RSICB_v1,success
