output_state,experiment,diagnosis
xx,95266360763181961_micro_set0_SPT_v1,NoCUDA
xx,9572650725117124_micro_set2_MD_6_v1,NoCUDA
ok,95335043525029760_micro_set0_BCT_v1,success
ok,9550200732394731_micro_set1_DOG_v1,success
ok,21528431771473722_micro_set2_ACT_410_v1,success
xx,9607994201963102_micro_set1_ACT_40_v1,NoCUDA
ok,96465057899610574_micro_set2_RSD_v1,success
xx,96833742206036056_micro_set2_PLT_DOC_v1,NoCUDA
xx,9712655180058947_micro_set2_RSD_v1,NoCUDA
xx,97661180749605290_micro_set1_RSICB_v1,NoCUDA
xx,97859957963892341_micro_set2_PLT_DOC_v1,NoCUDA
xx,97956316450762503_micro_set2_INS_v1,NoCUDA
xx,9801011520785727_micro_set1_INS_2_v1,NoCUDA
xx,98039739268897862_micro_set1_MED_LF_v1,NoCUDA
xx,98492251012463810_micro_set1_ACT_40_v1,NoCUDA
ok,9868677217542475_micro_set2_PRT_v1,success
xx,9878436415681556_micro_set1_PNU_v1,NoCUDA
xx,9907740453459167_micro_set0_MD_MIX_v1,NoCUDA
xx,9911203240757174_micro_set0_CRS_v1,NoCUDA
xx,9992792388352635_micro_set2_RSD_v1,NoCUDA
ok,218270252179152367_micro_set0_RESISC_v1,success
xx,22189708803808745_micro_set1_RSICB_v1,batch_size>dataset_size
ok,22190395238418397_micro_set1_RSICB_v1,success
ok,226110992291539795_micro_set1_TEX_DTD_v1,success
ok,226190309696200087_micro_set2_INS_v1,success
xx,2271122706374627_micro_set2_MD_6_v1,AMP
xx,22940704805710192_micro_set2_TEX_ALOT_v1,batch_size>dataset_size
ok,23225303567342383_micro_set1_RSICB_v1,success
xx,233452348373255342_micro_set1_MD_5_BIS_v1,OOM
ok,234481725779901094_micro_set2_ACT_410_v1,success
ok,2352187666232583_micro_set2_FNG_v1,success
ok,235731558481658354_micro_set0_CRS_v1,success
xx,236753960374720201_micro_set0_TEX_v1,AMP
xx,23765159233596319_micro_set1_PLT_NET_v1,AMP
xx,23920786504859974_micro_set1_PLT_NET_v1,batch_size>dataset_size
ok,24049897758452482_micro_set1_MD_5_BIS_v1,success
xx,24052623663086517_micro_set1_APL_v1,OOM
ok,241218462195997494_micro_set0_FLW_v1,success
xx,24131476809234377_micro_set2_AWA_v1,batch_size>dataset_size
ok,241508387602149762_micro_set0_BRD_v1,success
xx,24166878364672642_micro_set1_APL_v1,OOM
xx,24525891153670300_micro_set0_SPT_v1,batch_size>dataset_size
ok,245724238040230004_micro_set2_BTS_v1,success
ok,245729981959117135_micro_set1_APL_v1,success
ok,2465584914008059_micro_set0_TEX_v1,success
ok,247303798879430989_micro_set1_ACT_40_v1,success
xx,2474987769698600_micro_set1_DOG_v1,success
xx,24862853450906301_micro_set1_TEX_DTD_v1,diverged
ok,24938946975907719_micro_set0_MD_MIX_v1,success
xx,25098051742214921_micro_set1_PLT_NET_v1,OOM
ok,25275129116641149_micro_set0_PLK_v1,success
xx,25291366363947188_micro_set1_INS_2_v1,NoCUDA
