"Name","State","Notes","User","Tags","Created","Runtime","Sweep","amp","amp_dtype","amp_impl","aot_autograd","aug_repeats","aug_splits","auto_augment","batch_size","bce_loss","bss_reg","channels_last","checkpoint_hist","class_map","clip_grad","clip_mode","color_jitter","cooldown_epochs","cotuning_reg","cutmix","data_dir","dataset","dataset_augmentation_path","dataset_download","decay_epochs","decay_milestones","decay_rate","delta_reg","device","dist_bn","distributed","drop","epoch_repeats","epochs","eval_metric","experiment","fast_norm","fuser","grad_checkpointing","hflip","initial_checkpoint","interpolation","jsd_loss","layer_decay","linear_probing","local_rank","log_interval","log_wandb","lr","lr_base","lr_base_scale","lr_base_size","lr_cycle_decay","lr_cycle_limit","lr_cycle_mul","lr_k_decay","lr_noise_pct","lr_noise_std","min_lr","mixup","mixup_mode","mixup_off_epoch","mixup_prob","mixup_switch_prob","model","model_ema","model_ema_decay","model_ema_force_cpu","momentum","no_aug","no_ddp_bb","no_prefetcher","no_resume_opt","num_classes","opt","opt_betas","output","patience_epochs","pct_to_freeze","persistent_workers","pin_mem","prefetcher","pretrained","project_name","ra_interpolation","ra_magnitude","ra_num_magnitude_bins","ra_num_ops","random_augment","rank","ratio","recount","recovery_interval","remode","reprob","resplit","resume","save_images","scale","sched","sched_on_updates","seed","smoothing","sp_reg","split_bn","stoch_norm","sync_bn","test_mode","torchscript","train_interpolation","train_split","trivial_augment","tta","use_multi_epochs_loader","val_split","vflip","warmup_epochs","warmup_lr","warmup_prefix","weight_decay","worker_seeding","workers","world_size","epoch","eval_loss","eval_time","eval_top1","eval_top5","train_backbone_grad_norm","train_head_grad_norm","train_loss","train_time"
"97806753780340820_micro_set2_PRT_v1","finished","-","spinedaa","","2023-03-02T02:43:44.000Z","75","","false","float16","native","false","0","0","","256","false","0.001","false","1","","1","norm","0.4","0","4","1","datasets/meta-album","mtlbm/micro/set2/PRT","","false","10","[90,180,270]","0.1","0.1","cuda:0","reduce","false","0.2","0","50","top1","97806753780340820_micro_set2_PRT_v1","false","","false","0.5","","","false","","false","0","50","true","0.01","0.1","","256","0.5","1","1","1","0.67","1","0","1","batch","0","0","0.5","volo_d5_448","false","0.9998","false","0.95","false","false","false","false","20","momentum","","experiments/output/metrics/","10","0.4","false","false","true","true","AFT-MC-01","nearest","8","31","2","false","0","[0.75,1.3333333333333333]","1","0","pixel","0","false","","false","[0.08,1]","multistep","false","42","0","0.1","false","true","false","true","false","random","train","false","0","false","val","0","0","0.000001","false","0.1","all","4","1","","","","","","","","",""
"9772389155840097_micro_set0_RESISC_v1","finished","-","spinedaa","","2023-03-02T02:43:23.000Z","14","","true","float16","native","false","0","0","","4","false","0.01","false","1","","10","norm","0.4","0","2","0.1","datasets/meta-album","mtlbm/micro/set0/RESISC","","false","90","[90,180,270]","0.1","0.0001","cuda:0","reduce","false","0.4","0","50","top1","9772389155840097_micro_set0_RESISC_v1","false","","false","0.5","","","false","0.65","false","0","50","true","0.00005","0.1","","256","0.5","1","1","1","0.67","1","0","0.2","batch","0","0.75","0.5","tf_efficientnet_b4_ns","false","0.9998","false","0.8","false","false","false","false","20","momentum","","experiments/output/metrics/","10","0.6","false","false","true","true","AFT-MC-01","nearest","9","31","2","true","0","[0.75,1.3333333333333333]","1","0","pixel","0","false","","false","[0.08,1]","cosine","false","42","0.05","0.0001","false","false","false","false","false","random","train","false","0","false","val","0","10","0","false","0.01","all","4","1","","","","","","","","",""
"9736002440894705_micro_set1_PLT_NET_v1","finished","-","spinedaa","","2023-03-02T02:43:19.000Z","1880","","true","float16","native","false","0","0","","8","false","0","false","1","","","norm","0.4","0","0","0.25","datasets/meta-album","mtlbm/micro/set1/PLT_NET","","false","90","[90,180,270]","0.1","0","cuda:0","reduce","false","0.3","0","50","top1","9736002440894705_micro_set1_PLT_NET_v1","false","","false","0.5","","","false","0.65","false","0","50","true","0.00001","0.1","","256","0.5","1","1","1","0.67","1","0","2","batch","0","0","0.5","swinv2_base_window12to24_192to384_22kft1k","false","0.9998","false","0.9","false","false","false","false","20","sgd","","experiments/output/metrics/","5","0.2","false","false","true","true","AFT-MC-01","nearest","8","31","2","false","0","[0.75,1.3333333333333333]","1","0","pixel","0","false","","false","[0.08,1]","plateau","false","42","0.1","0.01","false","true","false","false","false","random","train","false","0","false","val","0","5","0","false","0.01","all","4","1","49","3.088525390625","3.818101167678833","3.75","29.375","17.956479536129986","6.253806966705054","2.9704779585202536","31.50250005722046"
"97294331170195805_micro_set1_RSICB_v1","finished","-","spinedaa","","2023-03-02T02:42:25.000Z","50","","true","float16","native","false","0","0","","64","false","0.01","false","1","","10","norm","0.4","0","2","0.5","datasets/meta-album","mtlbm/micro/set1/RSICB","","false","90","[90,180,270]","0.1","0.0001","cuda:0","reduce","false","0.1","0","50","top1","97294331170195805_micro_set1_RSICB_v1","false","","false","0.5","","","false","","false","0","50","true","0.0005","0.1","","256","0.5","1","1","1","0.67","1","0","4","batch","0","0","0.5","tf_efficientnet_b7_ns","false","0.9998","false","0.9","false","false","false","false","20","momentum","","experiments/output/metrics/","10","0","false","false","true","true","AFT-MC-01","nearest","9","31","3","true","0","[0.75,1.3333333333333333]","1","0","pixel","0","false","","false","[0.08,1]","cosine","false","42","0","0","false","true","false","true","false","random","train","false","0","false","val","0","0","0","false","0.1","all","4","1","0","NaN","0.6049294471740723","0","25","NaN","NaN","NaN","2.931609869003296"
"96902343864137214_micro_set1_RSICB_v1","finished","-","spinedaa","","2023-03-02T02:41:24.000Z","435","","false","float16","native","false","0","0","original","2","false","0.01","false","1","","10","norm","0.4","0","4","0.1","datasets/meta-album","mtlbm/micro/set1/RSICB","","false","90","[90,180,270]","0.1","0.1","cuda:0","reduce","false","0","0","50","top1","96902343864137214_micro_set1_RSICB_v1","false","","false","0.5","","","false","0.75","false","0","50","true","0.01","0.1","","256","0.5","1","1","1","0.67","1","0","4","batch","0","0.25","0.5","edgenext_xx_small","false","0.9998","false","0.9","false","false","false","false","20","adamw","[0,0.999]","experiments/output/metrics/","2","0","false","false","true","true","AFT-MC-01","nearest","8","31","2","false","0","[0.75,1.3333333333333333]","1","0","pixel","0","false","","false","[0.08,1]","plateau","false","42","0.1","0.01","false","true","false","true","false","random","train","false","0","false","val","0","0","0.00001","false","0","all","4","1","49","0.7281248355284333","0.8810653686523438","79.375","97.5","9.999657836475496","0.0743245287880844","23.66380528608958","11.133103370666504"
"96565170690704784_micro_set2_PRT_v1","finished","-","spinedaa","","2023-03-02T02:40:41.000Z","35","","false","float16","native","false","0","0","","128","false","0.1","false","1","","1","norm","0.4","0","2","4","datasets/meta-album","mtlbm/micro/set2/PRT","","false","20","[90,180,270]","0.5","0.0001","cuda:0","reduce","false","0.1","0","50","top1","96565170690704784_micro_set2_PRT_v1","false","","false","0.5","","","false","0.65","false","0","50","true","0.005","0.1","","256","0.5","1","1","1","0.67","1","0","1","batch","0","0.25","0.5","xcit_tiny_24_p8_384_dist","false","0.9998","false","0.9","false","false","false","false","20","sgd","","experiments/output/metrics/","10","0","false","false","true","true","AFT-MC-01","nearest","9","31","3","true","0","[0.75,1.3333333333333333]","1","0","pixel","0","false","","false","[0.08,1]","step","false","42","0.05","0.0001","false","true","false","true","false","random","train","false","0","false","val","0","5","0.000001","false","0","all","4","1","0","3.779871344566345","0.5201952457427979","0","0","0.998668177191126","0.05159308220628586","9.564632892608644","2.0719685554504395"
"96495394989119932_micro_set0_FLW_v1","finished","-","spinedaa","","2023-03-02T02:40:12.000Z","21","","false","float16","native","false","0","0","","64","false","0.1","false","1","","","norm","0.4","0","0","1","datasets/meta-album","mtlbm/micro/set0/FLW","","false","20","[90,180,270]","0.5","0","cuda:0","reduce","false","0","0","50","top1","96495394989119932_micro_set0_FLW_v1","false","","false","0.5","","","false","","false","0","50","true","0.01","0.1","","256","0.5","1","1","1","0.67","1","0","0.2","batch","0","0.25","0.5","xcit_nano_12_p8_384_dist","false","0.9998","false","0.9","false","false","false","false","20","adam","[0.9,0.99]","experiments/output/metrics/","10","0.2","false","false","true","true","AFT-MC-01","nearest","8","31","2","false","0","[0.75,1.3333333333333333]","1","0","pixel","0","false","","false","[0.08,1]","step","false","42","0.1","0.0001","false","false","false","true","false","random","train","true","0","false","val","0","5","0.000001","false","0","all","4","1","0","4.406121134757996","0.6025586128234863","0","18.75","67.25570753635891","8.340087233113586","4.619231462478638","1.4610087871551514"
"96005617858919407_micro_set0_CRS_v1","finished","-","spinedaa","","2023-03-02T02:36:40.000Z","3058","","true","float16","native","false","0","0","original","128","false","0.01","false","1","","","norm","0.4","0","1","0.5","datasets/meta-album","mtlbm/micro/set0/CRS","","false","20","[90,180,270]","0.5","0.01","cuda:0","reduce","false","0.2","0","50","top1","96005617858919407_micro_set0_CRS_v1","false","","false","0.5","","","false","0.65","false","0","50","true","0.001","0.1","","256","0.5","1","1","1","0.67","1","0","8","batch","0","1","0.5","volo_d4_448","false","0.9998","false","0.9","false","false","false","false","20","adam","[0.9,0.999]","experiments/output/metrics/","10","0.6","false","false","true","true","AFT-MC-01","nearest","8","31","2","false","0","[0.75,1.3333333333333333]","1","0","pixel","0","false","","false","[0.08,1]","step","false","42","0","0.1","false","true","false","false","false","random","train","false","0","false","val","0","0","0","false","0","all","4","1","49","2.159912109375","5.88829493522644","30","73.125","4.563892402415748","4.083611381527237","6.707591946919759","50.921135902404785"
"95867507639169_micro_set2_AWA_v1","finished","-","spinedaa","","2023-03-02T02:35:06.000Z","430","","true","float16","native","false","0","0","","32","false","0","false","1","","","norm","0.4","0","2","0","datasets/meta-album","mtlbm/micro/set2/AWA","","false","90","[90,180,270]","0.1","0","cuda:0","reduce","false","0","0","50","top1","95867507639169_micro_set2_AWA_v1","false","","false","0.5","","","false","0.65","false","0","50","true","0.01","0.1","","256","0.5","1","1","1","0.67","1","0","0.2","batch","0","0.75","0.5","xcit_small_12_p8_384_dist","false","0.9998","false","0.9","false","false","false","false","20","sgd","","experiments/output/metrics/","10","1","false","false","true","true","AFT-MC-01","nearest","8","31","2","false","0","[0.75,1.3333333333333333]","1","0","pixel","0","false","","false","[0.08,1]","cosine","false","42","0.05","0.0001","false","true","false","true","false","random","train","false","0","false","val","0","0","0","false","0.1","all","4","1","49","0.4297607421875","2.0059454441070557","93.125","99.375","0.3251305745511302","1.7473628119383058","6.831873289744059","5.738917350769043"
"955681744039133_micro_set1_INS_2_v1","finished","-","spinedaa","","2023-03-02T02:33:57.000Z","61","","true","float16","native","false","0","0","","8","false","0.0001","false","1","","10","norm","0.4","0","4","0.5","datasets/meta-album","mtlbm/micro/set1/INS_2","","false","90","[90,180,270]","0.1","0.0001","cuda:0","reduce","false","0.4","0","50","top1","955681744039133_micro_set1_INS_2_v1","false","","false","0.5","","","false","","false","0","50","true","0.005","0.1","","256","0.5","1","1","1","0.67","1","0","2","batch","0","0.5","0.5","volo_d5_512","false","0.9998","false","0.9","false","false","false","false","20","sgd","","experiments/output/metrics/","10","0.6","false","false","true","true","AFT-MC-01","nearest","8","31","2","false","0","[0.75,1.3333333333333333]","1","0","pixel","0","false","","false","[0.08,1]","cosine","false","42","0.1","0.01","false","false","false","false","false","random","train","false","0","false","val","0","0","0.00001","false","0.1","all","4","1","","","","","","","","",""
