,output_state,experiment,diagnosis,device_count,initial_eval_loss,initial_eval_top1,initial_eval_top5,invalid_loss_value,max_memory_allocated,final_batch_size,project,curve_length
126,ok,174332253012443575_micro_set2_ACT_410_v1,success,1.0,3.3306640625,4.375,25.0,True,3441600000.0,16.0,AFT-MC-00,28.0
127,xx,17471933381675861_micro_set0_CRS_v1,batch_size>dataset_size,,,,,,,,,
128,xx,174657139646476191_micro_set1_MED_LF_v1,AMP,,,,,,,,,
129,xx,175017046173207874_micro_set2_BTS_v1,batch_size>dataset_size,,,,,,,,,
130,xx,17525258636853472_micro_set0_BRD_v1,batch_size>dataset_size,,,,,,,,,
131,xx,17584572651865220_micro_set1_RSICB_v1,OOM,,,,,,,,,
132,ok,17695002655537046_micro_set2_ACT_410_v1,success,1.0,1.6675364232035533e+31,0.0,18.75,False,9566528000.0,8.0,AFT-MC-00,1.0
133,xx,1775467835899088_micro_set2_INS_v1,OOM,,,,,,,,,
134,ok,177607638209569217_micro_set2_INS_v1,success,1.0,3.30439453125,4.375,26.25,False,3086009856.0,8.0,AFT-MC-00,50.0
135,ok,17808806541745713_micro_set2_BTS_v1,success,1.0,,4.375,25.0,True,5135550464.0,4.0,AFT-MC-00,26.0
136,ok,17869967140534544_micro_set1_RSICB_v1,success,1.0,3.3103723227977753,5.625,20.0,False,2987743232.0,4.0,AFT-MC-00,50.0
137,ok,17857160306007870_micro_set0_RESISC_v1,success,1.0,2.9985268115997314,0.0,12.5,False,9665342976.0,4.0,AFT-MC-00,1.0
138,ok,181049026720307402_micro_set1_RSICB_v1,success,1.0,3.1757549822330473,4.375,25.625,False,38403584.0,4.0,AFT-MC-00,50.0
139,ok,18192862611332641_micro_set0_FLW_v1,success,1.0,3.1095458984375,5.0,17.5,True,5049877504.0,2.0,AFT-MC-00,29.0
140,xx,18159120935425310_micro_set0_CRS_v1,success,,,,,,,,,
141,ok,18319098499799932_micro_set0_PLT_VIL_v1,success,1.0,3.447888731956482,7.8125,35.9375,False,10364827136.0,32.0,AFT-MC-00,1.0
